,host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,expensive_nbh
2251,100.0,84.0,6,6,Entire home/apt,2,2.0,4,209.0,1,1125,1,0
2252,100.0,96.0,3,4,Entire home/apt,2,1.0,2,124.0,2,1125,37,0
2253,90.0,60.0,1,2,Private room,1,1.5,1,99.0,2,365,80,0
2254,100.0,33.0,2,2,Private room,1,1.0,1,109.0,2,14,19,0
2255,91.0,69.0,8,4,Entire home/apt,2,2.0,2,149.0,1,1125,2,0
2256,100.0,79.0,1,2,Entire home/apt,0,1.0,1,146.0,1,1125,33,0
2257,90.0,100.0,1,6,Entire home/apt,2,2.5,2,190.0,2,1125,35,0
2258,90.0,100.0,1,2,Entire home/apt,1,1.0,1,145.0,3,1125,6,0
2259,100.0,100.0,1,6,Entire home/apt,2,2.0,3,185.0,6,1125,8,0
2260,100.0,100.0,1,3,Entire home/apt,1,1.0,1,140.0,1,30,10,0
2261,100.0,100.0,3,4,Entire home/apt,1,1.0,1,130.0,2,1125,1,0
2262,88.0,91.2,1,4,Entire home/apt,1,1.0,2,149.0,14,1125,17,0
2263,100.0,100.0,1,2,Private room,1,1.0,1,85.0,1,60,248,0
2264,100.0,89.0,1,2,Entire home/apt,1,1.0,1,160.0,2,1125,16,0
2265,100.0,60.0,1,4,Entire home/apt,1,1.0,2,99.0,1,1125,3,0
2266,96.2,73.2,1,3,Entire home/apt,1,1.0,1,117.0,1,1125,3,0
2267,66.0,96.0,5,3,Entire home/apt,1,1.0,1,100.0,5,1125,1,0
2268,97.0,100.0,8,3,Entire home/apt,0,1.0,2,93.0,4,365,0,0
2269,50.0,78.0,1,2,Private room,1,1.0,1,107.0,1,1125,16,0
2270,100.0,100.0,1,2,Entire home/apt,1,1.0,1,150.0,2,90,22,0
2271,100.0,77.0,4,4,Entire home/apt,1,1.0,2,129.0,1,1125,0,0
2272,90.0,100.0,1,2,Entire home/apt,0,1.0,1,95.0,2,1125,20,0
2273,66.0,96.0,5,3,Entire home/apt,1,1.0,1,140.0,3,1125,4,0
2274,100.0,100.0,1,2,Private room,1,1.0,1,125.0,1,1125,1,0
2275,50.0,50.0,1,2,Entire home/apt,0,1.0,1,100.0,1,1125,8,0
2276,100.0,0.0,1,2,Entire home/apt,1,1.0,1,130.0,1,7,6,0
2277,98.6,66.0,1,2,Private room,1,2.0,1,60.0,1,1125,0,0
2278,100.0,100.0,1,2,Entire home/apt,1,1.0,1,140.0,2,7,28,0
2279,100.0,100.0,1,2,Entire home/apt,0,1.0,1,85.0,2,1125,13,0
2280,100.0,80.0,1,1,Entire home/apt,0,1.0,1,139.0,1,5,14,0
2281,100.0,100.0,1,3,Entire home/apt,0,1.0,2,115.0,2,7,20,0
2282,100.0,86.2,1,3,Entire home/apt,0,1.0,1,89.0,1,10,0,0
2283,100.0,84.0,6,6,Entire home/apt,2,1.0,4,189.0,1,1125,1,0
2284,99.0,98.0,222,2,Entire home/apt,1,1.0,1,90.0,3,1125,3,0
2285,89.4,68.8,1,1,Private room,1,1.0,1,70.0,1,1125,1,0
2286,100.0,100.0,1,4,Entire home/apt,0,1.0,2,80.0,6,21,1,0
2287,84.6,96.0,1,2,Private room,1,1.0,1,65.0,1,1125,0,0
2288,100.0,0.0,2,3,Entire home/apt,1,1.0,1,125.0,5,30,16,0
2289,100.0,83.6,4,6,Entire home/apt,2,1.0,4,199.0,1,1125,0,0
2290,100.0,97.2,1,3,Entire home/apt,0,1.0,1,115.0,1,1125,0,0
2291,100.0,100.0,1,2,Entire home/apt,1,1.0,1,125.0,1,10,0,0
2292,90.0,90.0,1,3,Entire home/apt,1,1.5,1,168.0,2,1125,5,0
2293,100.0,100.0,2,1,Shared room,1,1.0,1,75.0,2,5,4,0
2294,100.0,100.0,1,2,Entire home/apt,1,1.5,1,150.0,2,1125,2,0
2295,77.0,83.0,6,2,Private room,1,1.0,1,84.0,2,1125,17,0
2296,60.0,70.0,1,2,Entire home/apt,1,1.0,1,75.0,2,1125,6,0
2297,100.0,100.0,1,5,Entire home/apt,2,2.0,2,163.0,2,1125,2,0
2298,100.0,86.0,2,1,Private room,1,1.0,1,95.0,4,365,2,0
2299,75.0,77.0,1,2,Private room,1,1.0,1,95.0,2,8,69,0
2300,100.0,86.0,1,4,Entire home/apt,2,1.0,3,200.0,1,1125,3,0
2301,86.0,50.0,1,4,Entire home/apt,1,1.0,1,150.0,2,14,18,0
2302,100.0,100.0,1,3,Entire home/apt,0,1.0,2,138.0,2,150,68,0
2303,100.0,0.0,1,4,Entire home/apt,1,1.0,1,90.0,2,30,1,0
2304,67.6,77.0,1,1,Entire home/apt,1,1.0,1,100.0,14,45,0,0
2305,100.0,94.0,7,2,Entire home/apt,1,1.0,1,115.0,1,1125,37,0
2306,97.0,100.0,8,8,Entire home/apt,3,2.0,5,246.0,4,1125,0,0
2307,100.0,84.0,6,6,Entire home/apt,2,1.0,4,199.0,1,1125,0,0
2308,98.0,95.0,3,1,Shared room,1,1.0,1,43.0,1,1125,1,0
2309,100.0,50.0,1,2,Entire home/apt,1,1.0,1,139.0,2,7,6,0
2310,92.0,94.0,30,8,Entire home/apt,3,2.5,4,550.0,3,1125,8,0
2311,60.0,50.0,1,1,Private room,1,4.0,1,79.0,5,365,5,0
2312,100.0,75.0,2,7,Entire home/apt,3,2.0,3,250.0,2,1125,1,0
2313,100.0,77.0,4,6,Entire home/apt,2,2.0,4,199.0,1,1125,0,0
2314,100.0,100.0,1,6,Entire home/apt,1,1.0,4,129.0,2,1125,118,0
2315,100.0,90.0,1,4,Entire home/apt,1,1.0,1,99.0,6,30,16,0
2316,100.0,100.0,1,4,Entire home/apt,2,1.0,2,128.0,1,1125,9,0
